team1,team1score,team2,team2score,group,date,city,winner,match_number,powerplay_score_teama,powerplay_score_teamb,toss_winner,toss_decision
Royal Challengers Bengaluru,218,Chennai Super Kings,191,Indian Premier League68,2024-05-18,"M Chinnaswamy Stadium, Bengaluru",Royal Challengers Bengaluru,68.0,42,58,Chennai Super Kings,field
Punjab Kings,214,Sunrisers Hyderabad,215,Indian Premier League69,2024-05-19,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Sunrisers Hyderabad,69.0,61,84,Punjab Kings,bat
Sunrisers Hyderabad,159,Kolkata Knight Riders,164,Qualifier 1,2024-05-21,"Narendra Modi Stadium, Ahmedabad",Kolkata Knight Riders,,45,63,Sunrisers Hyderabad,bat
Royal Challengers Bengaluru,172,Rajasthan Royals,174,Eliminator,2024-05-22,"Narendra Modi Stadium, Ahmedabad",Rajasthan Royals,,50,47,Rajasthan Royals,field
Sunrisers Hyderabad,175,Rajasthan Royals,139,Qualifier 2,2024-05-24,"MA Chidambaram Stadium, Chepauk, Chennai",Sunrisers Hyderabad,,68,51,Rajasthan Royals,field
Sunrisers Hyderabad,113,Kolkata Knight Riders,114,Final,2024-05-26,"MA Chidambaram Stadium, Chepauk, Chennai",Kolkata Knight Riders,,40,72,Sunrisers Hyderabad,bat
Kolkata Knight Riders,174,Royal Challengers Bengaluru,177,Indian Premier League1,2025-03-22,"Eden Gardens, Kolkata",Royal Challengers Bengaluru,1.0,60,80,Royal Challengers Bengaluru,field
Sunrisers Hyderabad,286,Rajasthan Royals,242,Indian Premier League2,2025-03-23,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Sunrisers Hyderabad,2.0,94,77,Rajasthan Royals,field
Mumbai Indians,155,Chennai Super Kings,158,Indian Premier League3,2025-03-23,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai Super Kings,3.0,52,62,Chennai Super Kings,field
Lucknow Super Giants,209,Delhi Capitals,211,Indian Premier League4,2025-03-24,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",Delhi Capitals,4.0,64,58,Delhi Capitals,field
Punjab Kings,243,Gujarat Titans,232,Indian Premier League5,2025-03-25,"Narendra Modi Stadium, Ahmedabad",Punjab Kings,5.0,73,61,Gujarat Titans,field
Rajasthan Royals,151,Kolkata Knight Riders,153,Indian Premier League6,2025-03-26,"Barsapara Cricket Stadium, Guwahati",Kolkata Knight Riders,6.0,54,40,Kolkata Knight Riders,field
Sunrisers Hyderabad,190,Lucknow Super Giants,193,Indian Premier League7,2025-03-27,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Lucknow Super Giants,7.0,62,77,Lucknow Super Giants,field
Royal Challengers Bengaluru,196,Chennai Super Kings,146,Indian Premier League8,2025-03-28,"MA Chidambaram Stadium, Chepauk, Chennai",Royal Challengers Bengaluru,8.0,56,30,Chennai Super Kings,field
Gujarat Titans,196,Mumbai Indians,160,Indian Premier League9,2025-03-29,"Narendra Modi Stadium, Ahmedabad",Gujarat Titans,9.0,66,48,Mumbai Indians,field
Sunrisers Hyderabad,163,Delhi Capitals,166,Indian Premier League10,2025-03-30,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",Delhi Capitals,10.0,58,52,Sunrisers Hyderabad,bat
Rajasthan Royals,182,Chennai Super Kings,176,Indian Premier League11,2025-03-30,"Barsapara Cricket Stadium, Guwahati",Rajasthan Royals,11.0,79,42,Chennai Super Kings,field
Kolkata Knight Riders,116,Mumbai Indians,121,Indian Premier League12,2025-03-31,"Wankhede Stadium, Mumbai",Mumbai Indians,12.0,41,55,Mumbai Indians,field
Lucknow Super Giants,171,Punjab Kings,177,Indian Premier League13,2025-04-01,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Punjab Kings,13.0,39,62,Punjab Kings,field
Royal Challengers Bengaluru,169,Gujarat Titans,170,Indian Premier League14,2025-04-02,"M Chinnaswamy Stadium, Bengaluru",Gujarat Titans,14.0,38,42,Gujarat Titans,field
Kolkata Knight Riders,200,Sunrisers Hyderabad,120,Indian Premier League15,2025-04-03,"Eden Gardens, Kolkata",Kolkata Knight Riders,15.0,53,33,Sunrisers Hyderabad,field
Lucknow Super Giants,203,Mumbai Indians,191,Indian Premier League16,2025-04-04,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Lucknow Super Giants,16.0,69,64,Mumbai Indians,field
Delhi Capitals,183,Chennai Super Kings,158,Indian Premier League17,2025-04-05,"MA Chidambaram Stadium, Chepauk, Chennai",Delhi Capitals,17.0,51,46,Delhi Capitals,bat
Rajasthan Royals,205,Punjab Kings,155,Indian Premier League18,2025-04-05,"Maharaja Yadavindra Singh International Cricket Stadium, New Chandigarh",Rajasthan Royals,18.0,53,43,Punjab Kings,field
Sunrisers Hyderabad,152,Gujarat Titans,153,Indian Premier League19,2025-04-06,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Gujarat Titans,19.0,45,48,Gujarat Titans,field
Royal Challengers Bengaluru,221,Mumbai Indians,209,Indian Premier League20,2025-04-07,"Wankhede Stadium, Mumbai",Royal Challengers Bengaluru,20.0,73,54,Mumbai Indians,field
Lucknow Super Giants,238,Kolkata Knight Riders,234,Indian Premier League21,2025-04-08,"Eden Gardens, Kolkata",Lucknow Super Giants,21.0,59,90,Kolkata Knight Riders,field
Punjab Kings,219,Chennai Super Kings,201,Indian Premier League22,2025-04-08,"Maharaja Yadavindra Singh International Cricket Stadium, New Chandigarh",Punjab Kings,22.0,75,59,Punjab Kings,bat
Gujarat Titans,217,Rajasthan Royals,159,Indian Premier League23,2025-04-09,"Narendra Modi Stadium, Ahmedabad",Gujarat Titans,23.0,56,57,Rajasthan Royals,field
Royal Challengers Bengaluru,163,Delhi Capitals,169,Indian Premier League24,2025-04-10,"M Chinnaswamy Stadium, Bengaluru",Delhi Capitals,24.0,64,39,Delhi Capitals,field
Chennai Super Kings,103,Kolkata Knight Riders,107,Indian Premier League25,2025-04-11,"MA Chidambaram Stadium, Chepauk, Chennai",Kolkata Knight Riders,25.0,31,71,Kolkata Knight Riders,field
Gujarat Titans,180,Lucknow Super Giants,186,Indian Premier League26,2025-04-12,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Lucknow Super Giants,26.0,54,61,Lucknow Super Giants,field
Punjab Kings,245,Sunrisers Hyderabad,247,Indian Premier League27,2025-04-12,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Sunrisers Hyderabad,27.0,89,83,Punjab Kings,bat
Rajasthan Royals,173,Royal Challengers Bengaluru,175,Indian Premier League28,2025-04-13,"Sawai Mansingh Stadium, Jaipur",Royal Challengers Bengaluru,28.0,45,65,Royal Challengers Bengaluru,field
Mumbai Indians,205,Delhi Capitals,193,Indian Premier League29,2025-04-13,"Arun Jaitley Stadium, Delhi",Mumbai Indians,29.0,59,72,Delhi Capitals,field
Lucknow Super Giants,166,Chennai Super Kings,168,Indian Premier League30,2025-04-14,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Chennai Super Kings,30.0,42,59,Chennai Super Kings,field
Punjab Kings,111,Kolkata Knight Riders,95,Indian Premier League31,2025-04-15,"Maharaja Yadavindra Singh International Cricket Stadium, New Chandigarh",Punjab Kings,31.0,54,55,Punjab Kings,bat
Delhi Capitals,188,Rajasthan Royals,188,Indian Premier League32,2025-04-16,"Arun Jaitley Stadium, Delhi",Delhi Capitals,32.0,46,63,Rajasthan Royals,field
Sunrisers Hyderabad,162,Mumbai Indians,166,Indian Premier League33,2025-04-17,"Wankhede Stadium, Mumbai",Mumbai Indians,33.0,46,55,Mumbai Indians,field
Royal Challengers Bengaluru,95,Punjab Kings,98,Indian Premier League34,2025-04-18,"M Chinnaswamy Stadium, Bengaluru",Punjab Kings,34.0,33,46,Punjab Kings,field
Delhi Capitals,203,Gujarat Titans,204,Indian Premier League35,2025-04-19,"Narendra Modi Stadium, Ahmedabad",Gujarat Titans,35.0,73,67,Gujarat Titans,field
Lucknow Super Giants,180,Rajasthan Royals,178,Indian Premier League36,2025-04-19,"Sawai Mansingh Stadium, Jaipur",Lucknow Super Giants,36.0,46,61,Lucknow Super Giants,bat
Punjab Kings,157,Royal Challengers Bengaluru,159,Indian Premier League37,2025-04-20,"Maharaja Yadavindra Singh International Cricket Stadium, New Chandigarh",Royal Challengers Bengaluru,37.0,62,54,Royal Challengers Bengaluru,field
Chennai Super Kings,176,Mumbai Indians,177,Indian Premier League38,2025-04-20,"Wankhede Stadium, Mumbai",Mumbai Indians,38.0,48,62,Mumbai Indians,field
Gujarat Titans,198,Kolkata Knight Riders,159,Indian Premier League39,2025-04-21,"Eden Gardens, Kolkata",Gujarat Titans,39.0,45,45,Kolkata Knight Riders,field
Lucknow Super Giants,159,Delhi Capitals,161,Indian Premier League40,2025-04-22,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Delhi Capitals,40.0,51,54,Delhi Capitals,field
Sunrisers Hyderabad,143,Mumbai Indians,146,Indian Premier League41,2025-04-23,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Mumbai Indians,41.0,24,56,Mumbai Indians,field
Royal Challengers Bengaluru,205,Rajasthan Royals,194,Indian Premier League42,2025-04-24,"M Chinnaswamy Stadium, Bengaluru",Royal Challengers Bengaluru,42.0,59,72,Rajasthan Royals,field
Chennai Super Kings,154,Sunrisers Hyderabad,155,Indian Premier League43,2025-04-25,"MA Chidambaram Stadium, Chepauk, Chennai",Sunrisers Hyderabad,43.0,50,37,Sunrisers Hyderabad,field
Punjab Kings,201,Kolkata Knight Riders,7,Indian Premier League44,2025-04-26,"Eden Gardens, Kolkata",no result,44.0,56,7,Punjab Kings,bat
Mumbai Indians,215,Lucknow Super Giants,161,Indian Premier League45,2025-04-27,"Wankhede Stadium, Mumbai",Mumbai Indians,45.0,66,60,Lucknow Super Giants,field
Delhi Capitals,162,Royal Challengers Bengaluru,165,Indian Premier League46,2025-04-27,"Arun Jaitley Stadium, Delhi",Royal Challengers Bengaluru,46.0,52,35,Royal Challengers Bengaluru,field
Gujarat Titans,209,Rajasthan Royals,212,Indian Premier League47,2025-04-28,"Sawai Mansingh Stadium, Jaipur",Rajasthan Royals,47.0,53,87,Rajasthan Royals,field
Kolkata Knight Riders,204,Delhi Capitals,190,Indian Premier League48,2025-04-29,"Arun Jaitley Stadium, Delhi",Kolkata Knight Riders,48.0,79,58,Delhi Capitals,field
Chennai Super Kings,190,Punjab Kings,194,Indian Premier League49,2025-04-30,"MA Chidambaram Stadium, Chepauk, Chennai",Punjab Kings,49.0,48,51,Punjab Kings,field
Mumbai Indians,217,Rajasthan Royals,117,Indian Premier League50,2025-05-01,"Sawai Mansingh Stadium, Jaipur",Mumbai Indians,50.0,58,62,Rajasthan Royals,field
Gujarat Titans,224,Sunrisers Hyderabad,186,Indian Premier League51,2025-05-02,"Narendra Modi Stadium, Ahmedabad",Gujarat Titans,51.0,82,57,Sunrisers Hyderabad,field
Royal Challengers Bengaluru,213,Chennai Super Kings,211,Indian Premier League52,2025-05-03,"M Chinnaswamy Stadium, Bengaluru",Royal Challengers Bengaluru,52.0,71,58,Chennai Super Kings,field
Kolkata Knight Riders,206,Rajasthan Royals,205,Indian Premier League53,2025-05-04,"Eden Gardens, Kolkata",Kolkata Knight Riders,53.0,56,59,Kolkata Knight Riders,bat
Punjab Kings,236,Lucknow Super Giants,199,Indian Premier League54,2025-05-04,"Himachal Pradesh Cricket Association Stadium, Dharamsala",Punjab Kings,54.0,66,38,Lucknow Super Giants,field
Delhi Capitals,133,Sunrisers Hyderabad,0,Indian Premier League55,2025-05-05,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",no result,55.0,26,0,Sunrisers Hyderabad,field
Mumbai Indians,155,Gujarat Titans,147,Indian Premier League56,2025-05-06,"Wankhede Stadium, Mumbai",Gujarat Titans,56.0,56,29,Gujarat Titans,field
Kolkata Knight Riders,179,Chennai Super Kings,183,Indian Premier League57,2025-05-07,"Eden Gardens, Kolkata",Chennai Super Kings,57.0,67,62,Kolkata Knight Riders,bat
Punjab Kings,122,Delhi Capitals,0,Indian Premier League58,2025-05-08,"Himachal Pradesh Cricket Association Stadium, Dharamsala",no result,58.0,69,0,Punjab Kings,bat
Punjab Kings,219,Rajasthan Royals,209,Indian Premier League59,2025-05-18,"Sawai Mansingh Stadium, Jaipur",Punjab Kings,59.0,58,89,Punjab Kings,bat
Delhi Capitals,199,Gujarat Titans,205,Indian Premier League60,2025-05-18,"Arun Jaitley Stadium, Delhi",Gujarat Titans,60.0,45,59,Gujarat Titans,field
Lucknow Super Giants,205,Sunrisers Hyderabad,206,Indian Premier League61,2025-05-19,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Sunrisers Hyderabad,61.0,69,72,Sunrisers Hyderabad,field
Chennai Super Kings,187,Rajasthan Royals,188,Indian Premier League62,2025-05-20,"Arun Jaitley Stadium, Delhi",Rajasthan Royals,62.0,68,56,Rajasthan Royals,field
Mumbai Indians,180,Delhi Capitals,121,Indian Premier League63,2025-05-21,"Wankhede Stadium, Mumbai",Mumbai Indians,63.0,54,49,Delhi Capitals,field
Lucknow Super Giants,235,Gujarat Titans,202,Indian Premier League64,2025-05-22,"Narendra Modi Stadium, Ahmedabad",Lucknow Super Giants,64.0,53,67,Gujarat Titans,field
Sunrisers Hyderabad,231,Royal Challengers Bengaluru,189,Indian Premier League65,2025-05-23,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Sunrisers Hyderabad,65.0,71,72,Royal Challengers Bengaluru,field
Punjab Kings,206,Delhi Capitals,208,Indian Premier League66,2025-05-24,"Sawai Mansingh Stadium, Jaipur",Delhi Capitals,66.0,60,61,Delhi Capitals,field
Chennai Super Kings,230,Gujarat Titans,147,Indian Premier League67,2025-05-25,"Narendra Modi Stadium, Ahmedabad",Chennai Super Kings,67.0,68,35,Chennai Super Kings,bat
Sunrisers Hyderabad,278,Kolkata Knight Riders,168,Indian Premier League68,2025-05-25,"Arun Jaitley Stadium, Delhi",Sunrisers Hyderabad,68.0,79,59,Sunrisers Hyderabad,bat
Mumbai Indians,184,Punjab Kings,187,Indian Premier League69,2025-05-26,"Sawai Mansingh Stadium, Jaipur",Punjab Kings,69.0,52,47,Punjab Kings,field
Lucknow Super Giants,227,Royal Challengers Bengaluru,230,Indian Premier League70,2025-05-27,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Royal Challengers Bengaluru,70.0,55,66,Royal Challengers Bengaluru,field
Punjab Kings,101,Royal Challengers Bengaluru,106,Qualifier 1,2025-05-29,"Maharaja Yadavindra Singh International Cricket Stadium, New Chandigarh",Royal Challengers Bengaluru,,48,61,Royal Challengers Bengaluru,field
Mumbai Indians,228,Gujarat Titans,208,Eliminator,2025-05-30,"Maharaja Yadavindra Singh International Cricket Stadium, New Chandigarh",Mumbai Indians,,79,66,Mumbai Indians,bat
Mumbai Indians,203,Punjab Kings,207,Qualifier 2,2025-06-01,"Narendra Modi Stadium, Ahmedabad",Punjab Kings,,65,64,Punjab Kings,field
Royal Challengers Bengaluru,190,Punjab Kings,184,Final,2025-06-03,"Narendra Modi Stadium, Ahmedabad",Royal Challengers Bengaluru,,55,52,Punjab Kings,field
Sunrisers Hyderabad,201,Royal Challengers Bengaluru,203,Indian Premier League1,2026-03-28,"M Chinnaswamy Stadium, Bengaluru",Royal Challengers Bengaluru,1.0,49,76,Royal Challengers Bengaluru,field
Kolkata Knight Riders,220,Mumbai Indians,224,Indian Premier League2,2026-03-29,"Wankhede Stadium, Mumbai",Mumbai Indians,2.0,78,80,Mumbai Indians,field
Chennai Super Kings,127,Rajasthan Royals,128,Indian Premier League3,2026-03-30,"Barsapara Cricket Stadium, Guwahati",Rajasthan Royals,3.0,41,74,Rajasthan Royals,field
Gujarat Titans,162,Punjab Kings,165,Indian Premier League4,2026-03-31,"Maharaja Yadavindra Singh International Cricket Stadium, New Chandigarh",Punjab Kings,4.0,54,55,Punjab Kings,field
Lucknow Super Giants,141,Delhi Capitals,145,Indian Premier League5,2026-04-01,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Delhi Capitals,5.0,48,33,Delhi Capitals,field
Sunrisers Hyderabad,226,Kolkata Knight Riders,161,Indian Premier League6,2026-04-02,"Eden Gardens, Kolkata",Sunrisers Hyderabad,6.0,84,74,Kolkata Knight Riders,field
Chennai Super Kings,209,Punjab Kings,210,Indian Premier League7,2026-04-03,"MA Chidambaram Stadium, Chepauk, Chennai",Punjab Kings,7.0,57,68,Punjab Kings,field
Mumbai Indians,162,Delhi Capitals,164,Indian Premier League8,2026-04-04,"Arun Jaitley Stadium, Delhi",Delhi Capitals,8.0,41,42,Delhi Capitals,field
Rajasthan Royals,210,Gujarat Titans,204,Indian Premier League9,2026-04-04,"Narendra Modi Stadium, Ahmedabad",Rajasthan Royals,9.0,69,56,Rajasthan Royals,bat
Sunrisers Hyderabad,156,Lucknow Super Giants,160,Indian Premier League10,2026-04-05,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Lucknow Super Giants,10.0,22,53,Lucknow Super Giants,field
Royal Challengers Bengaluru,250,Chennai Super Kings,207,Indian Premier League11,2026-04-05,"M Chinnaswamy Stadium, Bengaluru",Royal Challengers Bengaluru,11.0,51,77,Chennai Super Kings,field
Kolkata Knight Riders,25,Punjab Kings,0,Indian Premier League12,2026-04-06,"Eden Gardens, Kolkata",no result,12.0,25,0,Kolkata Knight Riders,bat
Rajasthan Royals,150,Mumbai Indians,123,Indian Premier League13,2026-04-07,"Barsapara Cricket Stadium, Guwahati",Rajasthan Royals,13.0,89,60,Mumbai Indians,field
Gujarat Titans,210,Delhi Capitals,209,Indian Premier League14,2026-04-08,"Arun Jaitley Stadium, Delhi",Gujarat Titans,14.0,68,63,Delhi Capitals,field
Kolkata Knight Riders,181,Lucknow Super Giants,182,Indian Premier League15,2026-04-09,"Eden Gardens, Kolkata",Lucknow Super Giants,15.0,56,56,Lucknow Super Giants,field
Royal Challengers Bengaluru,201,Rajasthan Royals,202,Indian Premier League16,2026-04-10,"Barsapara Cricket Stadium, Guwahati",Rajasthan Royals,16.0,61,97,Rajasthan Royals,field
Sunrisers Hyderabad,219,Punjab Kings,223,Indian Premier League17,2026-04-11,"Maharaja Yadavindra Singh International Cricket Stadium, New Chandigarh",Punjab Kings,17.0,105,93,Punjab Kings,field
Chennai Super Kings,212,Delhi Capitals,189,Indian Premier League18,2026-04-11,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai Super Kings,18.0,61,66,Delhi Capitals,field
Lucknow Super Giants,164,Gujarat Titans,165,Indian Premier League19,2026-04-12,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Gujarat Titans,19.0,60,52,Gujarat Titans,field
Royal Challengers Bengaluru,240,Mumbai Indians,222,Indian Premier League20,2026-04-12,"Wankhede Stadium, Mumbai",Royal Challengers Bengaluru,20.0,71,62,Mumbai Indians,field
Sunrisers Hyderabad,216,Rajasthan Royals,159,Indian Premier League21,2026-04-13,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Sunrisers Hyderabad,21.0,51,40,Rajasthan Royals,field
Chennai Super Kings,192,Kolkata Knight Riders,160,Indian Premier League22,2026-04-14,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai Super Kings,22.0,72,36,Kolkata Knight Riders,field
Lucknow Super Giants,146,Royal Challengers Bengaluru,149,Indian Premier League23,2026-04-15,"M Chinnaswamy Stadium, Bengaluru",Royal Challengers Bengaluru,23.0,35,60,Royal Challengers Bengaluru,field
Mumbai Indians,195,Punjab Kings,198,Indian Premier League24,2026-04-16,"Wankhede Stadium, Mumbai",Punjab Kings,24.0,48,61,Punjab Kings,field
Kolkata Knight Riders,180,Gujarat Titans,181,Indian Premier League25,2026-04-17,"Narendra Modi Stadium, Ahmedabad",Gujarat Titans,25.0,37,71,Kolkata Knight Riders,bat
Royal Challengers Bengaluru,175,Delhi Capitals,179,Indian Premier League26,2026-04-18,"M Chinnaswamy Stadium, Bengaluru",Delhi Capitals,26.0,59,50,Delhi Capitals,field
Sunrisers Hyderabad,194,Chennai Super Kings,184,Indian Premier League27,2026-04-18,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Sunrisers Hyderabad,27.0,75,76,Chennai Super Kings,field
Rajasthan Royals,155,Kolkata Knight Riders,161,Indian Premier League28,2026-04-19,"Eden Gardens, Kolkata",Kolkata Knight Riders,28.0,63,51,Rajasthan Royals,bat
Punjab Kings,254,Lucknow Super Giants,200,Indian Premier League29,2026-04-19,"Maharaja Yadavindra Singh International Cricket Stadium, New Chandigarh",Punjab Kings,29.0,63,61,Lucknow Super Giants,field
Mumbai Indians,199,Gujarat Titans,100,Indian Premier League30,2026-04-20,"Narendra Modi Stadium, Ahmedabad",Mumbai Indians,30.0,46,45,Gujarat Titans,field
Sunrisers Hyderabad,242,Delhi Capitals,195,Indian Premier League31,2026-04-21,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Sunrisers Hyderabad,31.0,67,59,Delhi Capitals,field
Rajasthan Royals,159,Lucknow Super Giants,119,Indian Premier League32,2026-04-22,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Rajasthan Royals,32.0,44,31,Lucknow Super Giants,field
Chennai Super Kings,207,Mumbai Indians,104,Indian Premier League33,2026-04-23,"Wankhede Stadium, Mumbai",Chennai Super Kings,33.0,73,29,Mumbai Indians,field
Gujarat Titans,205,Royal Challengers Bengaluru,206,Indian Premier League34,2026-04-24,"M Chinnaswamy Stadium, Bengaluru",Royal Challengers Bengaluru,34.0,57,58,Royal Challengers Bengaluru,field
